primary_type,id,case_number,date,block,iucr,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
ASSAULT,13237388,JG456230,2023-10-08T01:00:00.000,073XX S LOWE AVE,051A,AGGRAVATED - HANDGUN,STREET,False,False,0732,007,6,68,04A,1173233,1856287,2023,2023-10-16T15:44:47.000,41.761073697,-87.640651316,"{'latitude': '41.761073697', 'longitude': '-87.640651316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,511,32,11,17,214,4
BATTERY,13236445,JG455206,2023-10-08T01:00:00.000,061XX N CAMPBELL AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2413,024,40,2,08B,1158543,1940732,2023,2023-10-16T15:44:47.000,41.993110841,-87.692179382,"{'latitude': '41.993110841', 'longitude': '-87.692179382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,4450,20,31,24,50,11,52,40
ASSAULT,13236417,JG455205,2023-10-08T01:00:00.000,034XX W 60TH PL,0520,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,ALLEY,False,True,0823,008,14,66,04A,1154545,1864291,2023,2023-10-16T15:44:47.000,41.783430437,-87.708931588,"{'latitude': '41.783430437', 'longitude': '-87.708931588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21867,64,344,6,58,13,276,14
BATTERY,13236452,JG455207,2023-10-08T00:50:00.000,008XX W RANDOLPH ST,0460,SIMPLE,BAR OR TAVERN,True,False,1224,012,27,28,08B,1170600,1901161,2023,2023-10-16T15:44:47.000,41.884270108,-87.648991452,"{'latitude': '41.884270108', 'longitude': '-87.648991452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14917,29,63,46,44,15,92,27
ASSAULT,13236413,JG455194,2023-10-08T00:40:00.000,026XX W 13TH ST,051A,AGGRAVATED - HANDGUN,APARTMENT,False,True,1023,010,28,29,04A,1158791,1894033,2023,2023-10-16T15:44:47.000,41.864960415,-87.692550901,"{'latitude': '41.864960415', 'longitude': '-87.692550901', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,14920,30,16,23,43,21,151,28
BURGLARY,13236488,JG455197,2023-10-08T00:36:00.000,033XX W 51ST ST,0620,UNLAWFUL ENTRY,APARTMENT,False,False,0822,008,14,63,05,1154753,1870609,2023,2023-10-16T15:44:47.000,41.800763793,-87.70800049,"{'latitude': '41.800763793', 'longitude': '-87.70800049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,61,776,8,56,13,103,14
BATTERY,13236639,JG455391,2023-10-08T00:30:00.000,065XX S GREENWOOD AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,0321,003,20,42,08B,1184344,1861906,2023,2023-10-16T15:44:47.000,41.776240029,-87.599753494,"{'latitude': '41.776240029', 'longitude': '-87.599753494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,9,27,33,60,18,206,20
BATTERY,13236463,JG455236,2023-10-08T00:30:00.000,021XX S LEAVITT ST,0460,SIMPLE,STREET,False,False,1234,012,25,31,08B,1162027,1889954,2023,2023-10-16T15:44:47.000,41.853700347,-87.680785303,"{'latitude': '41.853700347', 'longitude': '-87.680785303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,4,26,43,15,121,25
BATTERY,13237747,JG456687,2023-10-08T00:29:00.000,035XX N CLARK ST,0460,SIMPLE,BAR OR TAVERN,False,False,1924,019,44,6,08B,1168583,1923729,2023,2023-10-16T15:44:47.000,41.946241881,-87.655743334,"{'latitude': '41.946241881', 'longitude': '-87.655743334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,211,25,22,5,28,44
ASSAULT,13236486,JG455226,2023-10-08T00:29:00.000,080XX S ELLIS AVE,0560,SIMPLE,APARTMENT,False,True,0631,006,8,44,08A,1184291,1851869,2023,2023-10-16T15:44:47.000,41.748698768,-87.600261356,"{'latitude': '41.748698768', 'longitude': '-87.600261356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,247,35,61,20,235,10
BATTERY,13237380,JG455195,2023-10-08T00:21:00.000,035XX N CLARK ST,0460,SIMPLE,STREET,False,False,1924,019,44,6,08B,1168604,1923694,2023,2023-10-16T15:44:47.000,41.946145384,-87.655667162,"{'latitude': '41.946145384', 'longitude': '-87.655667162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,211,25,22,5,28,44
BATTERY,13236494,JG455178,2023-10-08T00:15:00.000,035XX W FLOURNOY ST,0486,DOMESTIC BATTERY SIMPLE,STREET,False,True,1133,011,24,27,08B,1152924,1896804,2023,2023-10-16T15:44:47.000,41.872682495,-87.714015459,"{'latitude': '41.872682495', 'longitude': '-87.714015459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,28,685,14,30,16,141,24
BATTERY,13236428,JG455217,2023-10-08T00:15:00.000,043XX W MAYPOLE AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1114,011,28,26,08B,1147599,1901105,2023,2023-10-16T15:44:47.000,41.884588704,-87.733455762,"{'latitude': '41.884588704', 'longitude': '-87.733455762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,27,619,23,30,16,83,28
BATTERY,13236432,JG455170,2023-10-08T00:09:00.000,013XX S HOMAN AVE,041A,AGGRAVATED - HANDGUN,ALLEY,False,False,1021,010,24,29,04B,1153918,1893455,2023,2023-10-16T15:44:47.000,41.863472736,-87.710455229,"{'latitude': '41.863472736', 'longitude': '-87.710455229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,34,14,57,21,153,24
BATTERY,13236430,JG455159,2023-10-08T00:09:00.000,016XX S KARLOV AVE,041A,AGGRAVATED - HANDGUN,STREET,False,False,1012,010,24,29,04B,1149323,1891456,2023,2023-10-16T15:44:47.000,41.858077482,-87.727375071,"{'latitude': '41.858077482', 'longitude': '-87.727375071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,753,14,57,21,109,24
ASSAULT,13236473,JG455174,2023-10-08T00:06:00.000,019XX E 67TH ST,0520,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,GAS STATION,True,True,0331,003,5,42,04A,1190615,1860945,2023,2023-10-16T15:44:47.000,41.77345388,-87.576795798,"{'latitude': '41.77345388', 'longitude': '-87.576795798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,9,134,33,24,18,262,3
BURGLARY,13237202,JG456104,2023-10-08T00:00:00.000,036XX N LAKEWOOD AVE,0630,ATTEMPT FORCIBLE ENTRY,APARTMENT,False,False,1923,019,44,6,05,1166983,1924218,2023,2023-10-15T15:42:41.000,41.947618277,-87.661610299,"{'latitude': '41.947618277', 'longitude': '-87.661610299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,21186,57,728,25,53,5,12,44
BATTERY,13236495,JG455285,2023-10-08T00:00:00.000,082XX S VERNON AVE,0486,DOMESTIC BATTERY SIMPLE,STREET,False,True,0631,006,6,44,08B,1180680,1850407,2023,2023-10-15T15:42:41.000,41.744770536,-87.613538057,"{'latitude': '41.744770536', 'longitude': '-87.613538057', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,40,11,32,61,20,235,4
ASSAULT,13237594,JG455703,2023-10-08T00:00:00.000,074XX S COLES AVE,0560,SIMPLE,APARTMENT,False,True,0334,003,7,43,08A,1195493,1856210,2023,2023-10-15T15:42:41.000,41.76034157,-87.559070771,"{'latitude': '41.76034157', 'longitude': '-87.559070771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,421,37,24,18,213,5
BATTERY,13236447,JG455224,2023-10-08T00:00:00.000,037XX W 55TH PL,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0822,008,23,62,08B,1152376,1867536,2023,2023-10-15T15:42:41.000,41.792378153,-87.716798658,"{'latitude': '41.792378153', 'longitude': '-87.716798658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",35,21867,60,774,6,58,13,129,23
ARSON,13236450,JG455180,2023-10-07T23:59:00.000,063XX S TROY ST,1020,BY FIRE,APARTMENT,False,False,0823,008,14,66,09,1156477,1862433,2023,2023-10-15T15:42:41.000,41.778293095,-87.701898173,"{'latitude': '41.778293095', 'longitude': '-87.701898173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,21867,64,319,31,58,13,276,15
ASSAULT,13236457,JG455183,2023-10-07T23:51:00.000,042XX W HIRSCH ST,0560,SIMPLE,APARTMENT,False,True,2534,025,36,23,08A,1147663,1908980,2023,2023-10-15T15:42:41.000,41.906197324,-87.733018406,"{'latitude': '41.906197324', 'longitude': '-87.733018406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,24,286,49,5,6,194,36
BURGLARY,13236490,JG455168,2023-10-07T23:24:00.000,010XX S AUSTIN BLVD,0630,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,1513,015,29,25,05,1136530,1895198,2023,2023-10-15T15:42:41.000,41.868584223,-87.77424456,"{'latitude': '41.868584223', 'longitude': '-87.77424456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,22216,,,,,,,
BATTERY,13236455,JG455132,2023-10-07T23:23:00.000,013XX N LONG AVE,041A,AGGRAVATED - HANDGUN,ALLEY,False,False,2532,025,37,25,04B,1140043,1908293,2023,2023-10-15T15:42:41.000,41.904455039,-87.761026737,"{'latitude': '41.904455039', 'longitude': '-87.761026737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,26,599,45,5,6,145,37
BATTERY,13236449,JG455158,2023-10-07T23:15:00.000,082XX S COLFAX AVE,0460,SIMPLE,RESIDENCE,False,False,0423,004,7,46,08B,1194939,1850850,2023,2023-10-15T15:42:41.000,41.745646982,-87.561277434,"{'latitude': '41.745646982', 'longitude': '-87.561277434', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,42,244,37,25,19,238,5
