primary_type,id,case_number,date,block,iucr,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
BATTERY,13237836,JG456781,2023-10-09T00:00:00.000,014XX E 66TH PL,0496,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,0321,003,5,42,04B,1187010,1861192,2023,2023-10-16T15:44:47.000,41.774217931,-87.590002881,"{'latitude': '41.774217931', 'longitude': '-87.590002881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,9,134,33,60,18,206,3
BATTERY,13237906,JG456968,2023-10-09T00:00:00.000,122XX S CARONDOLET AVE,0460,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0433,004,10,51,08B,1198377,1823935,2023,2023-10-16T15:44:47.000,41.671704449,-87.549577859,"{'latitude': '41.671704449', 'longitude': '-87.549577859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,22250,48,174,47,26,19,259,6
BATTERY,13238948,JG457097,2023-10-09T00:00:00.000,017XX W 80TH ST,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0611,006,17,71,08B,1166319,1851650,2023,2023-10-16T15:44:47.000,41.748499105,-87.66612341,"{'latitude': '41.748499105', 'longitude': '-87.66612341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,574,13,59,20,231,17
ASSAULT,13237371,JG456244,2023-10-08T23:55:00.000,059XX W DIVERSEY AVE,0560,SIMPLE,BAR OR TAVERN,False,False,2514,025,30,19,08A,1136114,1917995,2023,2023-10-16T15:44:47.000,41.931149489,-87.77522735,"{'latitude': '41.931149489', 'longitude': '-87.77522735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22615,19,82,21,2,6,177,30
BATTERY,13237397,JG456262,2023-10-08T23:51:00.000,070XX S SOUTH SHORE DR,0498,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,True,True,0331,003,5,43,04B,1193443,1858795,2023,2023-10-16T15:44:47.000,41.767485391,-87.566499462,"{'latitude': '41.767485391', 'longitude': '-87.566499462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,142,33,24,18,213,3
BATTERY,13237396,JG456250,2023-10-08T23:50:00.000,029XX W MARQUETTE RD,041A,AGGRAVATED - HANDGUN,STREET,False,False,0831,008,15,66,04B,1157727,1860062,2023,2023-10-16T15:44:47.000,41.771761444,-87.697379853,"{'latitude': '41.771761444', 'longitude': '-87.697379853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,21867,64,382,31,58,13,208,15
ASSAULT,13237438,JG456226,2023-10-08T23:50:00.000,010XX W 58TH ST,051A,AGGRAVATED - HANDGUN,APARTMENT,False,True,0712,007,16,68,04A,1170488,1866357,2023,2023-10-16T15:44:47.000,41.788767211,-87.650418831,"{'latitude': '41.788767211', 'longitude': '-87.650418831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21559,66,409,2,11,17,261,16
BATTERY,13237457,JG456249,2023-10-08T23:50:00.000,014XX W 16TH ST,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1233,012,25,31,08B,1167038,1892169,2023,2023-10-16T15:44:47.000,41.859672532,-87.6623296,"{'latitude': '41.859672532', 'longitude': '-87.6623296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14920,29,96,23,43,15,150,28
BATTERY,13237630,JG456251,2023-10-08T23:49:00.000,079XX S GREENWOOD AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0624,006,8,44,08B,1184927,1852648,2023,2023-10-16T15:44:47.000,41.75082153,-87.597906451,"{'latitude': '41.75082153', 'longitude': '-87.597906451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,247,35,61,20,227,10
BATTERY,13237426,JG456231,2023-10-08T23:21:00.000,028XX N HALSTED ST,0460,SIMPLE,STREET,False,False,1933,019,44,6,08B,1170437,1919298,2023,2023-10-16T15:44:47.000,41.934042616,-87.649058688,"{'latitude': '41.934042616', 'longitude': '-87.649058688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,684,25,22,5,30,44
ASSAULT,13237424,JG456212,2023-10-08T23:21:00.000,075XX S SAGINAW AVE,051A,AGGRAVATED - HANDGUN,STREET,False,True,0421,004,7,43,04A,1195237,1855394,2023,2023-10-16T15:44:47.000,41.758108725,-87.560035881,"{'latitude': '41.758108725', 'longitude': '-87.560035881', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,245,37,24,19,225,5
BATTERY,13237743,JG456435,2023-10-08T23:20:00.000,056XX W IRVING PARK RD,0460,SIMPLE,RESTAURANT,False,False,1633,016,38,15,08B,1138216,1926036,2023,2023-10-16T15:44:47.000,41.953177006,-87.767307661,"{'latitude': '41.953177006', 'longitude': '-87.767307661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22254,15,311,19,52,12,27,38
BATTERY,13237365,JG456214,2023-10-08T23:20:00.000,032XX W WASHINGTON BLVD,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1123,011,28,27,08B,1154798,1900499,2023,2023-10-16T15:44:47.000,41.882784645,-87.707036121,"{'latitude': '41.882784645', 'longitude': '-87.707036121', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,28,176,23,30,16,86,28
BATTERY,13237459,JG456290,2023-10-08T23:20:00.000,003XX N OGDEN AVE,0486,DOMESTIC BATTERY SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,True,1215,012,27,28,08B,1167230,1902442,2023,2023-10-16T15:44:47.000,41.887858344,-87.661329596,"{'latitude': '41.887858344', 'longitude': '-87.661329596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14917,29,63,46,44,15,78,27
ASSAULT,13237322,JG456245,2023-10-08T23:15:00.000,051XX N MILWAUKEE AVE,0560,SIMPLE,OTHER (SPECIFY),False,False,1623,016,45,11,08A,1138427,1933668,2023,2023-10-16T15:44:47.000,41.974116083,-87.766346346,"{'latitude': '41.974116083', 'longitude': '-87.766346346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20,21869,11,780,50,48,12,58,45
ASSAULT,13237368,JG456243,2023-10-08T23:10:00.000,045XX N MAGNOLIA AVE,0560,SIMPLE,APARTMENT,True,True,1913,019,46,3,08A,1167101,1930317,2023,2023-10-16T15:44:47.000,41.964351639,-87.661000678,"{'latitude': '41.964351639', 'longitude': '-87.661000678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,22616,31,611,39,15,5,6,46
BURGLARY,13237936,JG457066,2023-10-08T23:00:00.000,039XX W 62ND PL,0610,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,0823,008,23,65,05,1151284,1862871,2023,2023-10-16T15:44:47.000,41.779598096,-87.720924748,"{'latitude': '41.779598096', 'longitude': '-87.720924748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,21867,63,339,6,58,13,276,23
BATTERY,13237356,JG456200,2023-10-08T22:41:00.000,054XX W DRUMMOND PL,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2514,025,31,19,08B,1139740,1917088,2023,2023-10-16T15:44:47.000,41.928595043,-87.761924507,"{'latitude': '41.928595043', 'longitude': '-87.761924507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22615,19,79,21,2,6,177,31
BATTERY,13237405,JG456188,2023-10-08T22:30:00.000,014XX S TRUMBULL AVE,0498,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",VACANT LOT / LAND,False,True,1021,010,24,29,04B,1153603,1892824,2023,2023-10-16T15:44:47.000,41.861747467,-87.711628352,"{'latitude': '41.861747467', 'longitude': '-87.711628352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,772,14,57,21,153,24
ASSAULT,13237341,JG456201,2023-10-08T22:30:00.000,058XX W MADISON ST,0560,SIMPLE,SIDEWALK,False,False,1513,015,29,25,08A,1137612,1899424,2023,2023-10-16T15:44:47.000,41.880161534,-87.770170439,"{'latitude': '41.880161534', 'longitude': '-87.770170439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22216,26,618,7,32,25,99,29
BATTERY,13237420,JG456166,2023-10-08T22:01:00.000,015XX E 89TH ST,041A,AGGRAVATED - HANDGUN,VEHICLE NON-COMMERCIAL,False,True,0412,004,8,48,04B,1188101,1846275,2023,2023-10-16T15:44:47.000,41.733258355,-87.586478228,"{'latitude': '41.733258355', 'longitude': '-87.586478228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,44,490,35,61,19,240,10
BATTERY,13237467,JG456346,2023-10-08T22:00:00.000,041XX S ELLIS AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0214,002,4,36,08B,1183529,1877533,2023,2023-10-16T15:44:47.000,41.819140832,-87.602253976,"{'latitude': '41.819140832', 'longitude': '-87.602253976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,4301,2,220,10,36,24,104,9
BATTERY,13238204,JG456150,2023-10-08T21:43:00.000,099XX S EMERALD AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2232,022,21,73,08B,1173062,1838877,2023,2023-10-16T15:44:47.000,41.713302103,-87.641790767,"{'latitude': '41.713302103', 'longitude': '-87.641790767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,72,593,22,19,9,253,21
BATTERY,13237287,JG456148,2023-10-08T21:40:00.000,028XX E 76TH PL,0486,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,0421,004,7,43,08B,1196209,1854967,2023,2023-10-16T15:44:47.000,41.756912975,-87.556487808,"{'latitude': '41.756912975', 'longitude': '-87.556487808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,421,37,24,19,225,5
ASSAULT,13237273,JG456134,2023-10-08T21:17:00.000,008XX E 50TH ST,051A,AGGRAVATED - HANDGUN,STREET,False,False,0223,002,4,39,04A,1182685,1872039,2023,2023-10-16T15:44:47.000,41.804084538,-87.605520738,"{'latitude': '41.804084538', 'longitude': '-87.605520738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,21192,5,461,10,10,24,116,20
ASSAULT,13237203,JG456113,2023-10-08T21:15:00.000,001XX E 68TH ST,0560,SIMPLE,APARTMENT,False,False,0322,003,6,69,08A,1178474,1859963,2023,2023-10-16T15:44:47.000,41.771043625,-87.621331292,"{'latitude': '41.771043625', 'longitude': '-87.621331292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,67,514,32,60,18,211,4
BATTERY,13237308,JG456159,2023-10-08T21:09:00.000,045XX W WELLINGTON AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2521,025,31,20,08B,1145664,1919561,2023,2023-10-16T15:44:47.000,41.935270789,-87.740092679,"{'latitude': '41.935270789', 'longitude': '-87.740092679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22618,21,411,17,21,6,176,31
ASSAULT,13240808,JG456664,2023-10-08T21:00:00.000,033XX N ODELL AVE,0530,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,1631,016,38,17,04A,1126509,1921229,2023,2023-10-16T15:44:47.000,41.940190131,-87.810452138,"{'latitude': '41.940190131', 'longitude': '-87.810452138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",39,22254,17,458,7,52,12,29,38
ASSAULT,13237277,JG456123,2023-10-08T20:57:00.000,099XX S CALUMET AVE,051A,AGGRAVATED - HANDGUN,STREET,False,False,0511,005,9,49,04A,1180328,1839335,2023,2023-10-16T15:44:47.000,41.714395692,-87.615166311,"{'latitude': '41.714395692', 'longitude': '-87.615166311', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21861,45,567,43,19,10,250,11
BATTERY,13237270,JG456120,2023-10-08T20:40:00.000,089XX S BURLEY AVE,0460,SIMPLE,RESIDENCE,False,False,0424,004,10,46,08B,1199223,1846343,2023,2023-10-16T15:44:47.000,41.733172894,-87.545731552,"{'latitude': '41.733172894', 'longitude': '-87.545731552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,21202,42,175,47,25,19,239,6
ASSAULT,13240304,JG459958,2023-10-08T20:30:00.000,083XX S ELLIS AVE,0560,SIMPLE,APARTMENT,False,True,0632,006,8,44,08A,1184340,1849824,2023,2023-10-16T15:44:47.000,41.743085927,-87.600145655,"{'latitude': '41.743085927', 'longitude': '-87.600145655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,141,35,61,20,241,10
BATTERY,13237247,JG456142,2023-10-08T20:30:00.000,045XX W MAYPOLE AVE,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1113,011,28,26,08B,1146170,1901074,2023,2023-10-16T15:44:47.000,41.884530928,-87.73870409,"{'latitude': '41.884530928', 'longitude': '-87.73870409', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,27,732,23,30,16,90,28
BATTERY,13237255,JG456097,2023-10-08T20:10:00.000,069XX S PULASKI RD,0460,SIMPLE,RESTAURANT,False,False,0833,008,23,65,08B,1150896,1858296,2023,2023-10-16T15:44:47.000,41.767051135,-87.722466357,"{'latitude': '41.767051135', 'longitude': '-87.722466357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23,21867,63,317,15,58,13,209,23
BATTERY,13237237,JG456083,2023-10-08T20:00:00.000,059XX S GREEN ST,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0712,007,16,68,08B,1171656,1865431,2023,2023-10-16T15:44:47.000,41.786200624,-87.646163334,"{'latitude': '41.786200624', 'longitude': '-87.646163334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21559,66,22,2,11,17,261,16
ARSON,13238664,JG457182,2023-10-08T20:00:00.000,023XX N LINCOLN AVE,1020,BY FIRE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1812,018,43,7,09,1170831,1915894,2023,2023-10-16T15:44:47.000,41.924693247,-87.647710791,"{'latitude': '41.924693247', 'longitude': '-87.647710791', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51,21190,68,798,34,16,14,149,43
BURGLARY,13237272,JG456125,2023-10-08T19:42:00.000,078XX S COLES AVE,0610,FORCIBLE ENTRY,APARTMENT,False,False,0421,004,7,43,05,1197407,1853828,2023,2023-10-16T15:44:47.000,41.75375771,-87.552135344,"{'latitude': '41.75375771', 'longitude': '-87.552135344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,421,37,24,19,225,5
BATTERY,13237209,JG456069,2023-10-08T19:30:00.000,062XX S STONY ISLAND AVE,0486,DOMESTIC BATTERY SIMPLE,PARK PROPERTY,False,True,0314,003,5,42,08B,1187938,1864159,2023,2023-10-16T15:44:47.000,41.782337559,-87.586506596,"{'latitude': '41.782337559', 'longitude': '-87.586506596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,9,469,33,60,18,262,3
BURGLARY,13240736,JG460480,2023-10-08T19:30:00.000,014XX N SEDGWICK ST,0620,UNLAWFUL ENTRY,APARTMENT,False,False,1821,018,27,8,05,1173383,1909988,2023,2023-10-16T15:44:47.000,41.908430535,-87.638509526,"{'latitude': '41.908430535', 'longitude': '-87.638509526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14926,37,309,46,54,14,198,27
BURGLARY,13237191,JG456078,2023-10-08T19:18:00.000,065XX S CHAMPLAIN AVE,0620,UNLAWFUL ENTRY,RESIDENCE,False,True,0321,003,20,42,05,1181691,1861816,2023,2023-10-16T15:44:47.000,41.776054751,-87.609481883,"{'latitude': '41.776054751', 'longitude': '-87.609481883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,9,332,4,60,18,206,20
ASSAULT,13237184,JG456047,2023-10-08T19:01:00.000,019XX E 78TH ST,0530,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,True,0414,004,8,43,04A,1190401,1853636,2023,2023-10-16T15:44:47.000,41.753402543,-87.577815588,"{'latitude': '41.753402543', 'longitude': '-87.577815588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,22538,39,188,35,24,19,222,10
BATTERY,13237370,JG456261,2023-10-08T19:00:00.000,011XX W 95TH ST,0496,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,HOTEL / MOTEL,False,True,2222,022,21,73,04B,1170210,1841786,2023,2023-10-16T15:44:47.000,41.721347217,-87.65215149,"{'latitude': '41.721347217', 'longitude': '-87.65215149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,22212,72,592,13,13,9,252,21
ASSAULT,13237200,JG456042,2023-10-08T18:47:00.000,006XX E 69TH ST,0560,SIMPLE,APARTMENT,False,False,0321,003,6,42,08A,1181907,1859412,2023,2023-10-16T15:44:47.000,41.769452949,-87.6087643,"{'latitude': '41.769452949', 'longitude': '-87.6087643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,22260,9,348,4,60,18,206,4
BATTERY,13237098,JG456022,2023-10-08T18:38:00.000,068XX S STONY ISLAND AVE,0460,SIMPLE,CONVENIENCE STORE,False,False,0332,003,5,43,08B,1188039,1860017,2023,2023-10-16T15:44:47.000,41.770969165,-87.586268228,"{'latitude': '41.770969165', 'longitude': '-87.586268228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,381,33,24,18,212,3
BURGLARY,13241203,JG461013,2023-10-08T18:32:00.000,060XX S GREEN ST,0630,ATTEMPT FORCIBLE ENTRY,APARTMENT,False,False,0712,007,16,68,05,1171674,1864781,2023,2023-10-16T15:44:47.000,41.784416556,-87.646116386,"{'latitude': '41.784416556', 'longitude': '-87.646116386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21559,66,22,2,11,17,261,16
BATTERY,13237187,JG456063,2023-10-08T18:30:00.000,006XX N PEORIA ST,0460,SIMPLE,RESIDENCE - GARAGE,False,False,1214,012,27,24,08B,1170265,1904881,2023,2023-10-16T15:44:47.000,41.894485357,-87.650112838,"{'latitude': '41.894485357', 'longitude': '-87.650112838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,22620,25,522,46,49,15,76,27
BURGLARY,13238582,JG456769,2023-10-08T18:18:00.000,013XX W 82ND ST,0610,FORCIBLE ENTRY,APARTMENT,False,False,0613,006,17,71,05,1168663,1850385,2023,2023-10-16T15:44:47.000,41.744977571,-87.657570565,"{'latitude': '41.744977571', 'longitude': '-87.657570565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,575,13,59,20,233,17
ASSAULT,13239077,JG456009,2023-10-08T18:11:00.000,039XX W VAN BUREN ST,0560,SIMPLE,APARTMENT,False,False,1132,011,28,26,08A,1150293,1897736,2023,2023-10-16T15:44:47.000,41.875291694,-87.723650826,"{'latitude': '41.875291694', 'longitude': '-87.723650826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,27,736,23,30,16,142,28
ASSAULT,13237049,JG456030,2023-10-08T18:00:00.000,026XX E 92ND ST,0560,SIMPLE,RESIDENCE - YARD (FRONT / BACK),False,False,0423,004,7,48,08A,1195250,1844471,2023,2023-10-16T15:44:47.000,41.728134806,-87.560347829,"{'latitude': '41.728134806', 'longitude': '-87.560347829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,44,493,37,25,19,238,5
ASSAULT,13237185,JG456024,2023-10-08T17:51:00.000,076XX S KINGSTON AVE,0520,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,0421,004,7,43,04A,1194518,1854858,2023,2023-10-16T15:44:47.000,41.756655606,-87.562688485,"{'latitude': '41.756655606', 'longitude': '-87.562688485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,245,37,24,19,225,5
BATTERY,13237061,JG455988,2023-10-08T17:50:00.000,014XX N SEDGWICK ST,0486,DOMESTIC BATTERY SIMPLE,STREET,False,True,1821,018,27,8,08B,1173386,1909914,2023,2023-10-16T15:44:47.000,41.908227409,-87.638500707,"{'latitude': '41.908227409', 'longitude': '-87.638500707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14926,37,290,46,54,14,198,27
BATTERY,13237052,JG455981,2023-10-08T17:42:00.000,075XX N PAULINA ST,0484,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA PLATFORM,False,False,2422,024,49,1,08B,1163690,1950023,2023,2023-10-16T15:44:47.000,42.018498254,-87.672983233,"{'latitude': '42.018498254', 'longitude': '-87.672983233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,489,5,9,11,32,49
ASSAULT,13237186,JG456032,2023-10-08T17:35:00.000,013XX E 79TH ST,0520,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SMALL RETAIL STORE,False,False,0411,004,8,45,04A,1186404,1852879,2023,2023-10-16T15:44:47.000,41.751420646,-87.592486791,"{'latitude': '41.751420646', 'longitude': '-87.592486791', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,41,133,35,61,19,224,10
BATTERY,13237275,JG456066,2023-10-08T17:33:00.000,077XX S GREEN ST,0498,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",SIDEWALK,True,True,0621,006,17,71,04B,1171976,1853616,2023,2023-10-16T15:44:47.000,41.753771819,-87.645336583,"{'latitude': '41.753771819', 'longitude': '-87.645336583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,70,572,31,59,20,229,17
ASSAULT,13237129,JG456002,2023-10-08T17:26:00.000,085XX W CATALPA AVE,0560,SIMPLE,RESIDENCE,False,False,1614,016,41,76,08A,1118388,1935414,2023,2023-10-16T15:44:47.000,41.979247605,-87.840000094,"{'latitude': '41.979247605', 'longitude': '-87.840000094', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34,4448,75,64,29,31,12,44,41
BATTERY,13237178,JG455993,2023-10-08T17:20:00.000,007XX E 133RD PL,041A,AGGRAVATED - HANDGUN,CHA PARKING LOT / GROUNDS,False,False,0533,005,10,54,04B,1184004,1817025,2023,2023-10-16T15:44:47.000,41.65308909,-87.602396648,"{'latitude': '41.65308909', 'longitude': '-87.602396648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,4460,51,10,43,47,10,221,6
BATTERY,13238465,JG457021,2023-10-08T17:15:00.000,001XX S WESTERN AVE,0460,SIMPLE,RESTAURANT,False,False,1223,012,27,28,08B,1160434,1899193,2023,2023-10-16T15:44:47.000,41.879086132,-87.686376648,"{'latitude': '41.879086132', 'longitude': '-87.686376648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21184,29,766,46,28,15,75,27
BATTERY,13237177,JG455955,2023-10-08T17:15:00.000,056XX N RICHMOND ST,0486,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2011,020,50,2,08B,1155675,1937331,2023,2023-10-16T15:44:47.000,41.983836774,-87.702821081,"{'latitude': '41.983836774', 'longitude': '-87.702821081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",46,4450,20,65,24,50,2,57,50
ASSAULT,13237078,JG455921,2023-10-08T17:10:00.000,043XX N KEYSTONE AVE,0560,SIMPLE,NURSING / RETIREMENT HOME,False,False,1722,017,39,16,08A,1148512,1928536,2023,2023-10-16T15:44:47.000,41.959844358,-87.729393644,"{'latitude': '41.959844358', 'longitude': '-87.729393644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,22618,16,269,38,21,1,11,39
BATTERY,13237040,JG455967,2023-10-08T17:05:00.000,063XX S WOOD ST,0460,SIMPLE,SIDEWALK,False,False,0725,007,15,67,08B,1165429,1862628,2023,2023-10-16T15:44:47.000,41.778643133,-87.669074043,"{'latitude': '41.778643133', 'longitude': '-87.669074043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,22257,65,280,3,23,17,204,15
BATTERY,13237075,JG455909,2023-10-08T16:53:00.000,070XX S LAFAYETTE AVE,041A,AGGRAVATED - HANDGUN,SIDEWALK,False,False,0731,007,6,69,04B,1177063,1858155,2023,2023-10-16T15:44:47.000,41.766114212,-87.62655793,"{'latitude': '41.766114212', 'longitude': '-87.62655793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,67,513,32,11,17,210,4
BATTERY,13237028,JG455908,2023-10-08T16:45:00.000,044XX S TROY ST,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,0922,009,12,58,08B,1156110,1875035,2023,2023-10-16T15:44:47.000,41.812882134,-87.702904815,"{'latitude': '41.812882134', 'longitude': '-87.702904815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,55,156,8,56,23,115,12
BATTERY,13237244,JG456115,2023-10-08T16:00:00.000,109XX S VERNON AVE,0486,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0513,005,9,49,08B,1181183,1832574,2023,2023-10-16T15:44:47.000,41.695823004,-87.612242314,"{'latitude': '41.695823004', 'longitude': '-87.612242314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,237,43,19,10,260,11
ASSAULT,13237133,JG455976,2023-10-08T16:00:00.000,056XX S FAIRFIELD AVE,0560,SIMPLE,RESIDENCE,False,False,0824,008,15,63,08A,1159006,1867046,2023,2023-10-16T15:44:47.000,41.790900479,-87.692500624,"{'latitude': '41.790900479', 'longitude': '-87.692500624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21867,61,112,3,58,13,269,15
BURGLARY,13238190,JG457145,2023-10-08T16:00:00.000,030XX S LOCK ST,0620,UNLAWFUL ENTRY,RESIDENCE - GARAGE,False,False,0913,009,11,60,05,1167698,1884569,2023,2023-10-16T15:44:47.000,41.838803262,-87.660125639,"{'latitude': '41.838803262', 'longitude': '-87.660125639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14920,58,723,48,43,23,162,7
